OrderNumber,OrderDate,ProductId,StoreId,CustomerId,Channel,Quantity,UnitPrice,DiscountAmount
SO-100001,2026-02-16,P-0026,S-007,C-00171,Store,3,7.84,0.0
SO-100001,2026-02-16,P-0028,S-007,C-00171,Store,5,100.98,57.63
SO-100001,2026-02-16,P-0011,S-007,C-00171,Store,2,329.61,0.0
SO-100001,2026-02-16,P-0015,S-007,C-00171,Store,2,252.84,0.0
SO-100002,2026-02-20,P-0019,S-012,C-00325,Store,4,348.85,289.09
SO-100002,2026-02-20,P-0026,S-012,C-00325,Store,3,7.84,3.83
SO-100002,2026-02-20,P-0008,S-012,C-00325,Store,5,155.15,0.0
SO-100002,2026-02-20,P-0011,S-012,C-00325,Store,2,329.61,0.0
SO-100003,2026-04-20,P-0015,S-012,C-00237,Store,3,252.84,0.0
SO-100003,2026-04-20,P-0026,S-012,C-00237,Store,1,7.84,0.0
SO-100004,2026-03-15,P-0008,S-003,C-00325,Online,2,155.15,0.0
SO-100004,2026-03-15,P-0009,S-003,C-00325,Online,4,269.72,267.71
SO-100004,2026-03-15,P-0022,S-003,C-00325,Online,4,391.3,0.0
SO-100005,2026-04-16,P-0026,S-012,C-00215,Store,3,7.84,0.0
SO-100006,2026-04-17,P-0022,S-002,C-00056,Store,2,391.3,0.0
SO-100006,2026-04-17,P-0012,S-002,C-00056,Store,1,88.99,0.0
SO-100007,2026-05-15,P-0026,S-007,C-00496,Online,1,7.84,0.74
SO-100007,2026-05-15,P-0014,S-007,C-00496,Online,5,398.94,0.0
SO-100007,2026-05-15,P-0004,S-007,C-00496,Online,5,114.76,71.62
SO-100008,2026-03-29,P-0012,S-010,C-00354,Online,4,88.99,47.41
SO-100008,2026-03-29,P-0001,S-010,C-00354,Online,1,93.17,22.19
SO-100009,2026-01-06,P-0017,S-006,C-00234,Store,3,274.28,0.0
SO-100009,2026-01-06,P-0016,S-006,C-00234,Store,4,240.38,0.0
SO-100010,2026-03-26,P-0001,S-005,C-00023,Store,3,93.17,0.0
SO-100011,2026-05-23,P-0018,S-012,C-00125,Online,3,176.73,0.0
SO-100011,2026-05-23,P-0006,S-012,C-00125,Online,4,389.38,204.05
SO-100012,2026-01-17,P-0001,S-011,C-00222,Store,2,93.17,0.0
SO-100012,2026-01-17,P-0024,S-011,C-00222,Store,4,286.61,0.0
SO-100012,2026-01-17,P-0020,S-011,C-00222,Store,2,241.58,96.86
SO-100012,2026-01-17,P-0029,S-011,C-00222,Store,1,144.95,0.0
SO-100013,2026-04-17,P-0004,S-006,C-00101,Store,4,114.76,0.0
SO-100013,2026-04-17,P-0009,S-006,C-00101,Store,3,269.72,0.0
SO-100013,2026-04-17,P-0022,S-006,C-00101,Store,5,391.3,0.0
SO-100013,2026-04-17,P-0028,S-006,C-00101,Store,1,100.98,0.0
SO-100014,2026-03-28,P-0030,S-011,C-00362,Online,1,28.94,0.0
SO-100014,2026-03-28,P-0020,S-011,C-00362,Online,3,241.58,80.5
SO-100014,2026-03-28,P-0019,S-011,C-00362,Online,2,348.85,0.0
SO-100015,2026-01-06,P-0019,S-007,C-00306,Store,4,348.85,247.13
SO-100015,2026-01-06,P-0013,S-007,C-00306,Store,2,299.27,0.0
SO-100016,2026-04-05,P-0020,S-003,C-00162,Store,1,241.58,0.0
SO-100016,2026-04-05,P-0002,S-003,C-00162,Store,2,42.01,0.0
SO-100016,2026-04-05,P-0028,S-003,C-00162,Store,5,100.98,0.0
SO-100016,2026-04-05,P-0012,S-003,C-00162,Store,4,88.99,0.0
SO-100017,2026-04-05,P-0003,S-008,C-00251,Store,1,92.07,0.0
SO-100017,2026-04-05,P-0019,S-008,C-00251,Store,2,348.85,73.24
SO-100018,2026-04-17,P-0018,S-008,C-00290,Store,1,176.73,28.03
SO-100018,2026-04-17,P-0017,S-008,C-00290,Store,3,274.28,0.0
SO-100018,2026-04-17,P-0004,S-008,C-00290,Store,1,114.76,0.0
SO-100018,2026-04-17,P-0019,S-008,C-00290,Store,4,348.85,0.0
SO-100019,2026-03-19,P-0010,S-011,C-00385,Store,1,69.54,0.0
SO-100019,2026-03-19,P-0028,S-011,C-00385,Store,3,100.98,0.0
SO-100020,2025-12-23,P-0007,S-002,C-00398,Store,5,283.31,0.0
SO-100020,2025-12-23,P-0026,S-002,C-00398,Store,5,7.84,0.0
SO-100021,2026-01-12,P-0026,S-004,C-00417,Online,5,7.84,0.0
SO-100021,2026-01-12,P-0002,S-004,C-00417,Online,3,42.01,0.0
SO-100022,2026-01-13,P-0019,S-012,C-00150,Store,5,348.85,0.0
SO-100022,2026-01-13,P-0009,S-012,C-00150,Store,1,269.72,53.95
SO-100022,2026-01-13,P-0028,S-012,C-00150,Store,4,100.98,0.0
SO-100023,2026-02-09,P-0008,S-003,C-00360,Online,3,155.15,0.0
SO-100023,2026-02-09,P-0005,S-003,C-00360,Online,4,146.8,0.0
SO-100024,2026-04-27,P-0015,S-011,C-00213,Online,1,252.84,0.0
SO-100024,2026-04-27,P-0003,S-011,C-00213,Online,3,92.07,0.0
SO-100024,2026-04-27,P-0021,S-011,C-00213,Online,3,100.14,0.0
SO-100024,2026-04-27,P-0026,S-011,C-00213,Online,4,7.84,0.0
SO-100025,2025-12-01,P-0021,S-012,C-00048,Online,1,100.14,0.0
SO-100025,2025-12-01,P-0022,S-012,C-00048,Online,4,391.3,212.76
SO-100025,2025-12-01,P-0023,S-012,C-00048,Online,2,109.7,0.0
SO-100025,2025-12-01,P-0012,S-012,C-00048,Online,3,88.99,0.0
SO-100026,2026-02-25,P-0026,S-003,C-00290,Store,1,7.84,1.37
SO-100026,2026-02-25,P-0011,S-003,C-00290,Store,4,329.61,311.0
SO-100026,2026-02-25,P-0029,S-003,C-00290,Store,2,144.95,0.0
SO-100026,2026-02-25,P-0022,S-003,C-00290,Store,1,391.3,0.0
SO-100027,2026-03-20,P-0029,S-012,C-00466,Store,3,144.95,102.86
SO-100027,2026-03-20,P-0021,S-012,C-00466,Store,3,100.14,36.68
SO-100028,2025-12-22,P-0013,S-011,C-00085,Store,3,299.27,0.0
SO-100029,2026-01-29,P-0001,S-002,C-00361,Store,2,93.17,0.0
SO-100030,2026-01-03,P-0001,S-009,C-00349,Store,1,93.17,0.0
SO-100030,2026-01-03,P-0023,S-009,C-00349,Store,4,109.7,0.0
SO-100030,2026-01-03,P-0011,S-009,C-00349,Store,4,329.61,166.93
SO-100030,2026-01-03,P-0027,S-009,C-00349,Store,1,32.99,4.07
SO-100031,2026-02-15,P-0003,S-003,C-00329,Store,5,92.07,82.86
SO-100031,2026-02-15,P-0017,S-003,C-00329,Store,4,274.28,0.0
SO-100032,2026-01-24,P-0020,S-003,C-00471,Online,2,241.58,33.87
SO-100032,2026-01-24,P-0022,S-003,C-00471,Online,1,391.3,0.0
SO-100032,2026-01-24,P-0015,S-003,C-00471,Online,4,252.84,0.0
SO-100032,2026-01-24,P-0028,S-003,C-00471,Online,4,100.98,0.0
SO-100033,2026-01-05,P-0018,S-011,C-00044,Store,5,176.73,0.0
SO-100033,2026-01-05,P-0020,S-011,C-00044,Store,3,241.58,0.0
SO-100034,2026-05-26,P-0007,S-011,C-00449,Store,5,283.31,181.81
SO-100034,2026-05-26,P-0017,S-011,C-00449,Store,1,274.28,0.0
SO-100034,2026-05-26,P-0020,S-011,C-00449,Store,2,241.58,0.0
SO-100035,2025-12-29,P-0017,S-011,C-00305,Store,1,274.28,0.0
SO-100036,2026-02-20,P-0018,S-010,C-00216,Store,4,176.73,0.0
SO-100036,2026-02-20,P-0022,S-010,C-00216,Store,1,391.3,24.85
SO-100036,2026-02-20,P-0006,S-010,C-00216,Store,3,389.38,273.95
SO-100037,2026-03-12,P-0014,S-011,C-00365,Store,5,398.94,0.0
SO-100037,2026-03-12,P-0023,S-011,C-00365,Store,2,109.7,24.57
SO-100037,2026-03-12,P-0013,S-011,C-00365,Store,5,299.27,0.0
SO-100037,2026-03-12,P-0003,S-011,C-00365,Store,2,92.07,0.0
SO-100038,2026-03-11,P-0010,S-011,C-00349,Store,4,69.54,0.0
SO-100039,2026-01-31,P-0004,S-002,C-00474,Store,3,114.76,0.0
SO-100039,2026-01-31,P-0015,S-002,C-00474,Store,2,252.84,96.88
SO-100039,2026-01-31,P-0020,S-002,C-00474,Store,1,241.58,58.12
SO-100039,2026-01-31,P-0002,S-002,C-00474,Store,5,42.01,0.0
SO-100040,2026-02-05,P-0024,S-003,C-00384,Store,1,286.61,0.0
SO-100040,2026-02-05,P-0029,S-003,C-00384,Store,4,144.95,36.4
SO-100040,2026-02-05,P-0004,S-003,C-00384,Store,5,114.76,0.0
SO-100041,2026-04-07,P-0028,S-006,C-00029,Store,2,100.98,14.25
SO-100041,2026-04-07,P-0019,S-006,C-00029,Store,5,348.85,0.0
SO-100041,2026-04-07,P-0006,S-006,C-00029,Store,1,389.38,59.09
SO-100041,2026-04-07,P-0012,S-006,C-00029,Store,1,88.99,0.0
SO-100042,2025-12-04,P-0030,S-008,C-00187,Store,1,28.94,0.0
SO-100042,2025-12-04,P-0005,S-008,C-00187,Store,4,146.8,58.52
SO-100042,2025-12-04,P-0006,S-008,C-00187,Store,3,389.38,76.6
SO-100042,2025-12-04,P-0028,S-008,C-00187,Store,3,100.98,55.94
SO-100043,2025-12-14,P-0003,S-009,C-00024,Store,3,92.07,0.0
SO-100043,2025-12-14,P-0029,S-009,C-00024,Store,3,144.95,0.0
SO-100043,2025-12-14,P-0015,S-009,C-00024,Store,5,252.84,0.0
SO-100043,2025-12-14,P-0028,S-009,C-00024,Store,3,100.98,49.31
SO-100044,2026-02-16,P-0019,S-004,C-00238,Online,2,348.85,0.0
SO-100044,2026-02-16,P-0016,S-004,C-00238,Online,5,240.38,0.0
SO-100044,2026-02-16,P-0025,S-004,C-00238,Online,2,102.92,48.68
SO-100045,2025-12-07,P-0011,S-006,C-00326,Store,1,329.61,0.0
