ProductId,ProductName,Category,Subcategory,Brand,ListPrice,UnitCost
P-0001,Tailspin Speaker Eco,Electronics,Audio,Tailspin,93.17,62.51
P-0002,Adventure Cable Pro,Electronics,Accessories,Adventure,42.01,21.84
P-0003,Fabrikam Stand Classic,Electronics,Accessories,Fabrikam,92.07,57.71
P-0004,Tailspin Speaker Ultra,Electronics,Audio,Tailspin,114.76,59.05
P-0005,Contoso Jacket Lite,Apparel,Mens,Contoso,146.8,81.21
P-0006,Tailspin Jacket Lite,Apparel,Mens,Tailspin,389.38,219.44
P-0007,Proseware Boots Eco,Apparel,Footwear,Proseware,283.31,131.38
P-0008,Contoso Lamp Lite,Home,Decor,Contoso,155.15,90.92
P-0009,Northwind Jacket Eco,Apparel,Mens,Northwind,269.72,178.16
P-0010,Tailspin Cable Eco,Electronics,Accessories,Tailspin,69.54,39.21
P-0011,Northwind Chair Eco,Home,Furniture,Northwind,329.61,227.93
P-0012,Contoso Chips Ultra,Grocery,Snacks,Contoso,88.99,53.37
P-0013,Northwind Coffee Eco,Grocery,Beverages,Northwind,299.27,183.06
P-0014,Adventure Rice Eco,Grocery,Pantry,Adventure,398.94,196.08
P-0015,Contoso Coffee Max,Grocery,Beverages,Contoso,252.84,173.86
P-0016,Contoso Rice Classic,Grocery,Pantry,Contoso,240.38,141.92
P-0017,Contoso Sandals Lite,Apparel,Footwear,Contoso,274.28,167.61
P-0018,Northwind Sneakers Prime,Apparel,Footwear,Northwind,176.73,103.58
P-0019,Fabrikam Sandals Lite,Apparel,Footwear,Fabrikam,348.85,188.22
P-0020,Northwind Blender Pro,Home,Kitchen,Northwind,241.58,144.12
P-0021,Northwind Phone Pro,Electronics,Mobile,Northwind,100.14,62.11
P-0022,Tailspin Speaker Lite,Electronics,Audio,Tailspin,391.3,238.62
P-0023,Tailspin Kettle Max,Home,Kitchen,Tailspin,109.7,78.08
P-0024,Proseware Juice Eco,Grocery,Beverages,Proseware,286.61,163.28
P-0025,Proseware Blouse Lite,Apparel,Womens,Proseware,102.92,48.29
P-0026,Proseware Cable Eco,Electronics,Accessories,Proseware,7.84,5.19
P-0027,Contoso Headphones Ultra,Electronics,Audio,Contoso,32.99,17.2
P-0028,Proseware Coffee Plus,Grocery,Beverages,Proseware,100.98,59.77
P-0029,Contoso Coffee Classic,Grocery,Beverages,Contoso,144.95,83.1
P-0030,Tailspin Stand Lite,Electronics,Accessories,Tailspin,28.94,19.35
